Timestamp,SourceExecutionId,ClusteringId,K,Kappa,DistanceMetric,SilhouetteIndex
Tue Nov 30 08:28:39 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,6de0a2ee-4ae9-4adf-91d7-b9ee5ce79c9a,17,1,net.sf.javaml.distance.CosineDistance,0.375309183169282
Tue Nov 30 08:27:57 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,27685a47-93b0-423d-b785-1edbb1afa59c,16,5,net.sf.javaml.distance.CosineDistance,0.374788930377895
Tue Nov 30 08:29:06 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,0e1fa57e-f288-453f-ac79-fef22441c33f,11,20,net.sf.javaml.distance.CosineDistance,0.372225657325387
Mon Nov 29 12:46:44 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,31671a00-bcf3-4c51-8eca-900f564bad61,4,10,net.sf.javaml.distance.CosineDistance,0.370961446476095
Tue Nov 30 08:29:06 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,7eca24a0-2cd9-4380-91b2-d67345b90d62,13,20,net.sf.javaml.distance.CosineDistance,0.369721663943976
Tue Nov 30 08:27:59 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,b95e353e-e533-471f-bd96-38c214b6fb9b,10,5,net.sf.javaml.distance.CosineDistance,0.367842004860481
Tue Nov 30 08:27:58 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,9785e822-391e-43c2-8e76-229f3bbe2120,14,5,net.sf.javaml.distance.CosineDistance,0.366807621141737
Mon Nov 29 11:43:29 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,48d119b0-7efc-46a7-bf5a-752788b009db,3,5,net.sf.javaml.distance.CosineDistance,0.36242000436425
Tue Nov 30 08:28:39 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,76d190cb-20aa-4908-8323-a020757bf9fb,18,1,net.sf.javaml.distance.CosineDistance,0.358300334219524
Tue Nov 30 08:28:21 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,32cf63a5-ed5e-4087-9e35-c9c647ab3ea4,11,10,net.sf.javaml.distance.CosineDistance,0.357091346547426
Tue Nov 30 08:28:00 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,76b8c0a1-d944-418c-84ae-e36f47c24b6e,8,5,net.sf.javaml.distance.CosineDistance,0.354747298004644
Tue Nov 30 08:29:06 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,fbc06793-a58e-44b3-ac05-3a4ffd84108a,12,20,net.sf.javaml.distance.CosineDistance,0.353359037757208
Tue Nov 30 08:28:21 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,1e6961d8-066e-4f61-86e4-b95d8837cd85,12,10,net.sf.javaml.distance.CosineDistance,0.349061686414281
Tue Nov 30 08:27:59 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,5373ac30-2017-4064-b82a-eaee2e81007c,11,5,net.sf.javaml.distance.CosineDistance,0.348891532249737
Tue Nov 30 08:28:38 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,0d6f9408-3ea0-460f-b474-2d93ce1806bb,20,1,net.sf.javaml.distance.CosineDistance,0.348236162444231
Sun Nov 28 19:48:27 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,4ab97c60-4a75-42d1-92da-d927d549c0a5,3,10,net.sf.javaml.distance.CosineDistance,0.346749188948193
Mon Nov 29 10:07:59 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,54f66c56-c481-4ed4-98b4-d6e0bcd832f4,12,1,net.sf.javaml.distance.CosineDistance,0.344996012719269
